Name,Anrede,Bundesland,Wahlkreis,Email,Partei
Sanae Abdi,Frau,Nordrhein-Westfalen,92 - Köln I,sanae.abdi@bundestag.de,SPD
Knut Abraham,Herr,Brandenburg,65 - Elbe-Elster – Oberspreewald-Lausitz,knut.abraham@bundestag.de,CDU
Doris Achelwilm,Frau,Bremen,54 - Bremen I,doris.achelwilm@bundestag.de,DIE LINKE
Anna Aeikens,Frau,Sachsen-Anhalt,67 - Börde – Salzlandkreis,anna.aeikens@bundestag.de,CDU
Adis Ahmetović,Herr,Niedersachsen,41 - Stadt Hannover I,adis.ahmetovic@bundestag.de,SPD
Gökay Akbulut,Frau,Baden-Württemberg,275 - Mannheim,goekay.akbulut@bundestag.de,DIE LINKE
Jan van Aken,Herr,Hamburg,Landesliste Hamburg,jan.aken@bundestag.de,DIE LINKE
Tarek Al-Wazir,Herr,Hessen,184 - Offenbach,tarek.al-wazir@bundestag.de,GRÜNE
Reem Alabali Radovan,Frau,Mecklenburg-Vorpommern,12 - Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,reem.alabaliradovan@bundestag.de,SPD
Stephan Albani,Herr,Niedersachsen,27 - Oldenburg – Ammerland,stephan.albani@bundestag.de,CDU
Dr. Alaa Alhamwi,Herr,Niedersachsen,27 - Oldenburg – Ammerland,alaa.alhamwi@bundestag.de,GRÜNE
Norbert Maria Altenkamp,Herr,Hessen,180 - Main-Taunus,norbert.altenkamp@bundestag.de,CDU
Philipp Amthor,Herr,Mecklenburg-Vorpommern,16 - Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,philipp.amthor@bundestag.de,CDU
Luise Amtsberg,Frau,Schleswig-Holstein,5 - Kiel,luise.amtsberg@bundestag.de,GRÜNE
Dr. Michael Arndt,Herr,Saarland,299 - Homburg,michael.arndt@bundestag.de,DIE LINKE
Ayse Asar,Frau,Hessen,177 - Rheingau-Taunus – Limburg,ayse.asar@bundestag.de,GRÜNE
