nachname,vorname,partei,zuständige bundesländer, büro in deutschland plz, büro in deutschland stadt
Andresen,Rasmus,Bündnis 90/Die Grünen,"Hamburg, Schleswig-Holstein",24937, Flensburg
Barley,Katarina,SPD,"Rheinland-Pfalz, Saarland",54290, Trier
Bentele,Hildegard,CDU,"Berlin",11011, Berlin
Berg,Sibylle,Die PARTEI,"Keine Angaben",Keine Angaben,Keine Angaben
Berger,Stefan,CDU,"Nordrhein-Westfalen",Keine Angaben,Keine Angaben
Bischoff,Gabriele,SPD,"Berlin",13353,Berlin
Bloss,Michael,Bündnis 90/Die Grünen,"Baden-Württemberg",70178,Stuttgart
Boeselager,Damian,Volt,"gesamtes Bundesgebiet",Keine Angaben,Keine Angaben
Bullmann,Udo,SPD,"Hessen",60311,Frankfurt
Burkhardt,Delara,SPD,"Schleswig-Holstein",24116,Kiel
Caspary,Daniel,CDU,"Baden-Württemberg; Nordbaden",76646,Bruchsal
Cavazzini,Anna,Bündnis 90/Die Grünen,"Sachsen, Sachsen-Anhalt",09111,Chemnitz
Costanzo,Vivien,SPD,"Baden-Württemberg",77654,Offenburg
Cremer,Tobias,SPD,"Nordrhein-Westfalen/gesamtes Bundesgebiet",44789,Bochum
De Masi,Fabio,BSW,"Bayern, Brandenburg, Hamburg, Schleswig-Holstein",94032,Passau
Demirel,Özlem Alev,DIE LINKE,"Nordrhein-Westfalen/gesamtes Bundesgebiet",40215,Düsseldorf
Doleschal,Christian,CSU,"Bayern/Oberpfalz",95682,Brand
Düpont,Lena,CDU,"Niedersachsen",38518,Gifhorn
Ecke,Matthias,SPD,"Sachsen, Thüringen",01067,Dresden
Ehler,Christian,CDU,"Brandenburg",14469,Potsdam
Eroglu,Engin,Freie Wähler,"Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen",34613,Schwalmstadt
Everding,Sebastian,Partei Mensch Umwelt Tierschutz,"gesamtes Bundesgebiet",Keine Angaben,Keine Angaben
Ferber,Markus,CSU,"Bayern",86152,Augsburg
Firmenich,Ruth,BSW,"Berlin, Saarland, Sachsen-Anhalt",Keine Angaben,Keine Angaben
Freund,Daniel,Bündnis 90/Die Grünen,"Nordrhein-Westfalen",52064,Aachen
Gahler,Michael,CDU,"Hessen",64521,Groß-Gerau
Geese,Alexandra,Bündnis 90/Die Grünen,"Nordrhein-Westfalen",53111,Bonn
Geier,Jens,SPD,"Regierungsbezirke Düsseldorf und Köln, Nordrhein-Westfalen",45127,Essen
Geisel,Thomas,BSW,"Baden-Württemberg, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz",44147,Dortmund
Geuking,Niels,Familien-Partei Deutschlands,"gesamtes Bundesgebiet",48653,Coesfeld
Gieseke,Jens,CDU,"Niedersachsen",26871,Papenburg
Glück,Andreas,FDP,"Baden-Württemberg, Bayern, Saarland, Thüringen",70191,Stuttgart
Hahn,Svenja,FDP,"Hamburg, Mecklenburg-Vorpommern, Schleswig-Holstein",20251,Hamburg
Häusling,Martin,Bündnis 90/Die Grünen,"Hessen, Thüringen",34590,Wabern
Herbst,Niclas,CDU,"Hamburg, Mecklenburg-Vorpommern, Schleswig-Holstein",24103,Kiel
Hohlmeier,Monika,CSU,"Bayern/Oberfranken",96215,Lichtenfels
Köhler,Stefan,CSU,"Unterfranken",63741,Aschaffenburg
Körner,Moritz,FDP,"Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen",40476,Düsseldorf
Lagodinsky,Sergey,Bündnis 90/Die Grünen,"Berlin, Brandenburg",11011,Berlin
Lange,Bernd,SPD,"Hamburg, Niedersachsen",30159,Hannover
Langensiepen,Katrin,Bündnis 90/Die Grünen,"Bremen, Niedersachsen",30159,Hannover
Liese,Peter,CDU,"Nordrhein-Westfalen (Südwestfalen)",59872,Meschede
