Name,Anrede,Wahlkreis,Email,Partei,WahlkreisNummer,Title,FirstName,LastName,Bundesland
Sanae Abdi,Frau,92 - Köln I,sanae.abdi@bundestag.de,SPD,92,,Sanae,Abdi,Nordrhein-Westfalen
Knut Abraham,Herr,65 - Elbe-Elster – Oberspreewald-Lausitz,knut.abraham@bundestag.de,CDU,65,,Knut,Abraham,Brandenburg
Doris Achelwilm,Frau,54 - Bremen I,doris.achelwilm@bundestag.de,DIE LINKE,54,,Doris,Achelwilm,Bremen
Anna Aeikens,Frau,67 - Börde – Salzlandkreis,anna.aeikens@bundestag.de,CDU,67,,Anna,Aeikens,Sachsen-Anhalt
Adis Ahmetović,Herr,41 - Stadt Hannover I,adis.ahmetovic@bundestag.de,SPD,41,,Adis,Ahmetović,Niedersachsen
Gökay Akbulut,Frau,275 - Mannheim,goekay.akbulut@bundestag.de,DIE LINKE,275,,Gökay,Akbulut,Baden-Württemberg
Jan van Aken,Herr,,jan.aken@bundestag.de,DIE LINKE,,,Jan van,Aken,Hamburg
Tarek Al-Wazir,Herr,184 - Offenbach,tarek.al-wazir@bundestag.de,GRÜNE,184,,Tarek,Al-Wazir,Hessen
Reem Alabali-Radovan,Frau,12 - Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,reem.alabali-radovan@bundestag.de,SPD,12,,Reem,Alabali-Radovan,Mecklenburg-Vorpommern
Stephan Albani,Herr,27 - Oldenburg – Ammerland,stephan.albani@bundestag.de,CDU,27,,Stephan,Albani,Niedersachsen
Dr. Alaa Alhamwi,Herr,27 - Oldenburg – Ammerland,alaa.alhamwi@bundestag.de,GRÜNE,27,Dr.,Alaa,Alhamwi,Niedersachsen
Norbert Maria Altenkamp,Herr,180 - Main-Taunus,norbert.altenkamp@bundestag.de,CDU,180,,Norbert Maria,Altenkamp,Hessen
Philipp Amthor,Herr,16 - Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,philipp.amthor@bundestag.de,CDU,16,,Philipp,Amthor,Mecklenburg-Vorpommern
Luise Amtsberg,Frau,5 - Kiel,luise.amtsberg@bundestag.de,GRÜNE,5,,Luise,Amtsberg,Schleswig-Holstein
Dr. Michael Arndt,Herr,299 - Homburg,michael.arndt@bundestag.de,DIE LINKE,299,Dr.,Michael,Arndt,Saarland
Ayse Asar,Frau,177 - Rheingau-Taunus – Limburg,ayse.asar@bundestag.de,GRÜNE,177,,Ayse,Asar,Hessen
Dr. Reza Asghari,Herr,49 - Salzgitter – Wolfenbüttel,reza.asghari@bundestag.de,CDU,49,Dr.,Reza,Asghari,Niedersachsen
